,movie,lead
1276,Main Meri Patni Aur Woh,Rajpal Yadav
1277,Maine Gandhi Ko Nahin Mara,Anupam Kher
1278,Maine Pyaar Kyun Kiya?,Salman Khan
1279,Mangal Pandey: The Rising,Aamir Khan
1280,Koi Mere Dil Mein Hai,Dia Mirza
1281,Mr Prime Minister,Dev Anand
1282,My Brother…Nikhil,Sanjay Suri
1283,My Wife's Murder,Anil Kapoor
1284,Naina (2005 film),Urmila Matondkar
1285,Neal 'n' Nikki,Uday Chopra
1286,No Entry,Anil Kapoor
1287,Padmashree Laloo Prasad Yadav,Sunil Shetty
1288,Page 3 (film),Konkona Sen Sharma
1289,Morning Raga,Shabana Azmi
1290,Parineeta (2005 film),Saif Ali Khan
1291,Pehchaan: The Face of Truth,Vinod Khanna
1292,Paheli,Shah Rukh Khan
1293,Rog,Irrfan Khan
1294,Pyaar Mein Twist,Rishi Kapoor
1295,Salaam Namaste,Saif Ali Khan
1296,Revati (film),Kashmira Shah
1297,Sarkar (2005 film),Amitabh Bachchan
1298,Sehar,Arshad Warsi
1299,Shabd (film),Sanjay Dutt
1300,Shabnam Mausi,Ashutosh Rana
1301,Sheesha (2005 film),Neha Dhupia
1302,Ramji Londonwaley,Madhavan
1303,Silsiilay,Tabu
1304,Socha Na Tha,Abhay Deol
1305,Taj Mahal: An Eternal Love Story,Zulfi Sayed
1306,Tango Charlie,Ajay Devgn
1307,The Film,Nassar Abdulla
1308,Vaada (film),Arjun Rampal
1309,Vaah! Life Ho Toh Aisi!,Shahid Kapoor
1310,Ssukh,Aarti Chhabria
1311,Shaadi No. 1,Fardeen Khan
1312,Viruddh... Family Comes First,Amitabh Bachchan
1313,Waqt: The Race Against Time,Amitabh Bachchan
1314,Vidyaarthi,Vikram Aditya
1315,Yakeen (2005 film),Arjun Rampal
1316,Zeher,Emraan Hashmi
1317,Veer-Zaara,Shah Rukh Khan
1318,Main Hoon Na,Shah Rukh Khan
1319,Zameer: The Fire Within,Ajay Devgn
1320,Mujhse Shaadi Karogi,Salman Khan
1321,Dhoom,Abhishek Bachchan
1322,Khakee,Amitabh Bachchan
1323,Hum Tum,Saif Ali Khan
1324,Hulchul (2004 film),Akshaye Khanna
1325,Murder (2004 film),Mallika Sherawat
1326,Yuva,Ajay Devgn
1327,Aitraaz,Akshay Kumar
1328,Aetbaar,Amitabh Bachchan
1329,Ab Tumhare Hawale Watan Saathiyo,Amitabh Bachchan
1330,Aan: Men at Work,Shatrughan Sinha
1331,Bardaasht,Bobby Deol
1332,Chameli (film),Kareena Kapoor
1333,Agnipankh,Jimmy Sheirgill
1334,Asambhav,Arjun Rampal
1335,Charas (2004 film),Jimmy Sheirgill
1336,Deewaar (2004 film),Amitabh Bachchan
1337,Dev (2004 film),Amitabh Bachchan
1338,Dil Maange More,Shahid Kapoor
1339,Dil Ne Jise Apna Kahaa,Salman Khan
1340,Dobara,Jackie Shroff
1341,Aabra Ka Daabra,Naveen Bawa
1342,Dil Bechara Pyaar Ka Maara,Vikaas Kalantari
1343,Gayab,Tusshar Kapoor
1344,Fida,Kareena Kapoor
1345,Garv: Pride & Honour,Salman Khan
1346,Ek Se Badhkar Ek (2004 film),Sunil Shetty
1347,Ek Hasina Thi (film),Saif Ali Khan
1348,Girlfriend (2004 film),Isha Koppikar
1349,Hatya (2004 film),Akshay Kumar
1350,Hava Aney Dey,Aniket Vishwasrao
1351,Hawas (2004 film),Shawar Ali
1352,Hyderabad Blues 2,Tisca Chopra
1353,Julie (2004 film),Neha Dhupia
1354,Kaun Hai Jo Sapno Mein Aaya,Raqesh Bapat
1355,Inteqam: The Perfect Game,Manoj Bajpayee
1356,Kis Kis Ki Kismat,Mallika Sherawat
1357,Insaaf: The Justice,Dino Morea
1358,I Proud to Be an Indian,Sohail Khan
1359,Khamosh Pani,Kiron Kher
1360,Kismat (2004 film),Bobby Deol
1361,Lakeer – Forbidden Lines,Sunny Deol
1362,Krishna Cottage,Sohail Khan
1363,Kyun! Ho Gaya Na...,Amitabh Bachchan
1364,Madhoshi,Bipasha Basu
1365,Lakshya (film),Hrithik Roshan
1366,Ishq Hai Tumse,Dino Morea
1367,Maqbool,Irrfan Khan
1368,Masti (2004 film),Aftab Shivdasani
1369,Meenaxi: A Tale of Three Cities,Tabu
1370,Musafir (2004 film),Anil Kapoor
1371,Mughal-e-Azam,Prithviraj Kapoor
1372,Muskaan,Aftab Shivdasani
1373,Meri Biwi Ka Jawaab Nahin,Akshay Kumar
1374,Naach (2004 film),Antara Mali
1375,Netaji Subhas Chandra Bose: The Forgotten Hero,Vinay Anand
1376,Paap,John Abraham
1377,Phir Milenge,Salman Khan
1378,Plan (film),Sanjay Dutt
1379,Police Force: An Inside Story,Akshay Kumar
1380,Paisa Vasool,Manisha Koirala
1381,Popcorn Khao! Mast Ho Jao,Akshay Kapoor
1382,Rakht,Sanjay Dutt
1383,Raincoat (film),Ajay Devgn
1384,Rudraksh (film),Sanjay Dutt
1385,Shaadi Ka Laddoo,Sanjay Suri
1386,Run (2004 film),Abhishek Bachchan
1387,Rok Sako To Rok Lo,Sunny Deol
1388,Suno Sasurjee,Aftab Shivdasani
1389,Swades,Shah Rukh Khan
1390,Taarzan: The Wonder Car,Vatsal Sheth
1391,Nothing but Life,Madhavan
1392,Shart: The Challenge,Tusshar Kapoor
1393,Tumsa Nahin Dekha: A Love Story,Emraan Hashmi
1394,Vaastu Shastra (film),Vicky Ahuja
1395,Yeh Lamhe Judaai Ke,Shah Rukh Khan
1396,Sheen (film),Tarun Arora
1397,Dude Where's the Party?,Diwakar Pathak
1398,Thoda Tum Badlo Thoda Hum,Arya Babbar
1399,Koi... Mil Gaya,Rekha
1400,Kal Ho Naa Ho,Shah Rukh Khan
1401,Shukriya: Till Death Do Us Apart,Anupam Kher
1402,Chalte Chalte (2003 film),Shah Rukh Khan
1403,The Hero: Love Story of a Spy,Sunny Deol
1404,Baghban (2003 film),Amitabh Bachchan
1405,Main Prem Ki Diwani Hoon,Hrithik Roshan
1406,LOC Kargil,Sanjay Dutt
1407,Border (1997 film),Sanjay Dutt
1408,Munna Bhai M.B.B.S.,Sanjay Dutt
1409,Qayamat: City Under Threat,Ajay Devgn
1410,88 Antop Hill,Atul Kulkarni
1411,3 Deewarein,Naseeruddin Shah
1412,Aanch,Arun Bakshi
1413,Aapko Pehle Bhi Kahin Dekha Hai,Priyanshu Chatterjee
1414,Bhoot (film),Ajay Devgn
1415,Boom (film),Amitabh Bachchan
1416,Aaj Ka Andha Kanoon,Sudesh Berry
1417,Andaaz,Akshay Kumar
1418,Andaaz,Akshay Kumar
1419,Armaan (2003 film),Amitabh Bachchan
1420,Chori Chori (2003 film),Ajay Devgn
1421,Calcutta Mail,Anil Kapoor
1422,Baaz: A Bird in Danger,Jackie Shroff
1423,Basti (film),Sadashiv Amrapurkar
1424,Magic Magic 3D,Sooraj Balaji
1425,Dil Ka Rishta,Arjun Rampal
1426,Darna Mana Hai,Sameera Reddy
1427,Dhoop,Om Puri
1428,Dhund (2003 film),Amar Upadhyaya
1429,Chura Liyaa Hai Tumne,Zayed Khan
1430,The Bypass,Nawazuddin Siddiqui
1431,Dum (2003 Hindi film),Vivek Oberoi
1432,Dil Pardesi Ho Gayaa,Kapil Jhaveri
1433,Ek Alag Mausam,Nandita Das
1434,Footpath (2003 film),Aftab Shivdasani
1435,Escape from Taliban,Manisha Koirala
1436,Ek Din 24 Ghante,Rahul Bose
1437,Gangaajal,Ajay Devgn
1438,Hawa (film),Tabu
1439,Haasil,Jimmy Sheirgill
1440,Ek Aur Ek Gyarah,Sanjay Dutt
1441,Hungama (2003 film),Akshaye Khanna
1442,Green Card Fever,Vikram Dasu
1443,Flavors (film),Reef Karim
1444,Indian Babu,Jaz Pandher
1445,Fun2shh... Dudes in the 10th Century,Rushali Arora
1446,Inteha (2003 film),Ashmit Patel
1447,Jaal: The Trap,Sunny Deol
1448,Ishq Vishk,Shahid Kapoor
1449,Hawayein,Babbu Mann
1450,Jajantaram Mamantaram,Javed Jaffrey
1451,Jism (2003 film),Bipasha Basu
1452,Jhankaar Beats,Sanjay Suri
1453,Kagaar: Life on the Edge,Om Puri
1454,Kash Aap Hamare Hote,Juhi Babbar
1455,Khel – No Ordinary Game,Sunny Deol
1456,Janasheen,Feroz Khan
1457,Kaise Kahoon Ke... Pyaar Hai,Amit Hingorani
1458,Khushi (2003 Hindi film),Fardeen Khan
1459,Khwahish,Himanshu Malik
1460,Kucch To Hai,Tusshar Kapoor
1461,Kuch Naa Kaho,Aishwarya Rai Bachchan
1462,Main Madhuri Dixit Banna Chahti Hoon,Antara Mali
1463,Joggers' Park (film),Victor Banerjee
1464,Market (2003 film),Manisha Koirala
1465,Om (2003 film),Attin Bhalla
1466,Out of Control (2003 film),Riteish Deshmukh
1467,Mumbai Matinee,Rahul Bose
1468,Matrubhoomi,Tulip Joshi
1469,Parwana (2003 film),Ajay Devgn
1470,Pinjar (film),Urmila Matondkar
1471,Mumbai Se Aaya Mera Dost,Abhishek Bachchan
1472,Saaya (2003 film),John Abraham
1473,Samay: When Time Strikes,Sushmita Sen
1474,Nayee Padosan,Vikas Kalantri
1475,Satta (film),Raveena Tandon
1476,Sssshhh...,Tanishaa Mukerji
1477,Praan Jaye Par Shaan Na Jaye,Raveena Tandon
1478,Raghu Romeo,Vijay Raaz
1479,Stumped (film),Raveena Tandon
1480,Rules: Pyaar Ka Superhit Formula,Tanuja
1481,Right Here Right Now (film),Ankit
1482,Raja Bhaiya (film),Sadashiv Amrapurkar
1483,Tere Naam,Salman Khan
1484,Tujhe Meri Kasam,Riteish Deshmukh
1485,Talaash: The Hunt Begins...,Rakhee Gulzar
1486,Tehzeeb (2003 film),Shabana Azmi
1487,The Pink Mirror,Edwin Fernandes
1488,Yeh Dil,Tusshar Kapoor
1489,Xcuse Me,Sharman Joshi
1490,Raaz (2002 film),Dino Morea
1491,Zameen (2003 film),Ajay Devgn
1492,Waisa Bhi Hota Hai Part II,Arshad Warsi
1493,Devdas (2002 Hindi film),Shah Rukh Khan
1494,Kaante,Amitabh Bachchan
1495,Hum Tumhare Hain Sanam,Shah Rukh Khan
1496,Aankhen (2002 film),Amitabh Bachchan
1497,Saathiya (film),Vivek Oberoi
1498,Company (film),Ajay Devgn
1499,Awara Paagal Deewana,Akshay Kumar
