,movie,lead
317,Hai Apna Dil Toh Awara,Sahil Anand
318,Mohenjo Daro (film),Hrithik Roshan
319,Happy Bhag Jayegi,Diana Penty
320,Waarrior Savitri,Niharica Raizada
321,A Flying Jatt,Tiger Shroff
322,Baar Baar Dekho,Sidharth Malhotra
323,Freaky Ali,Nawazuddin Siddiqui
324,Raaz: Reboot,Emraan Hashmi
325,Pink (2016 film),Taapsee Pannu
326,Parched,Tannishtha Chatterjee
327,Banjo (2016 film),Riteish Deshmukh
328,Days of Tafree,Yash Soni
329,Wah Taj,Shreyas Talpade
330,Island City (2015 film),Vinay Pathak
331,Ek Kahani Julie Ki,Jimmy Sharma
332,M.S. Dhoni: The Untold Story,Sushant Singh Rajput
333,MSG: The Warrior Lion Heart,Ashok Insan
334,Devi (2016 film),RJ Balaji
335,Motu Patlu: King of Kings,Saurav Chakraborty
336,Anna (2016 film),Shashank Udapurkar
337,Fuddu,Shubham
338,Saat Uchakkey,Manoj Bajpayee
339,Beiimaan Love,Sunny Leone
340,Umrika,Aashish Bhatt
341,Shivaay,Ajay Devgn
342,Dongari Ka Raja,Ronit Roy
343,Ae Dil Hai Mushkil,Ranbir Kapoor
344,Tum Bin II,Neha Sharma
345,Rock On 2,Farhan Akhtar
346,Force 2,John Abraham
347,Dear Zindagi,Alia Bhatt
348,Befikre,Vaani Kapoor
349,Moh Maya Money,Neha Dhupia
350,Shorgul,Jimmy Sheirgill
351,Saansein,Sonarika Bhadoria
352,Ki & Ka,Amitabh Bachchan
353,Wajah Tum Ho,Sharman Joshi
354,Dangal (film),Aamir Khan
355,Mirzya (film),Harshvardhan Kapoor
356,Prem Ratan Dhan Payo,Salman Khan
357,Tanu Weds Manu: Returns,Kangana Ranaut
358,Tanu Weds Manu: Returns,Kangana Ranaut
359,31st October (film),Soha Ali Khan
360,ABCD 2,Prabhu Deva
361,Dilwale (2015 film),Shah Rukh Khan
362,Bajrangi Bhaijaan,Salman Khan
